"Label (Grouping)","Total:","Total:!!Male:","Total:!!Male:!!Less than high school diploma","Total:!!Male:!!High school graduate (includes equivalency)","Total:!!Male:!!Some college or associate's degree","Total:!!Male:!!Bachelor's degree or higher","Total:!!Female:","Total:!!Female:!!Less than high school diploma","Total:!!Female:!!High school graduate (includes equivalency)","Total:!!Female:!!Some college or associate's degree","Total:!!Female:!!Bachelor's degree or higher"
"Alabama","","","","","","","","","","",""
"    Estimate","831,045","369,995","71,286","145,769","100,680","52,260","461,050","68,201","141,203","154,710","96,936"
"    Margin of Error","±1,371","±836","±1,860","±2,388","±2,133","±1,639","±991","±1,945","±2,485","±2,884","±2,545"
"Alaska","","","","","","","","","","",""
"    Estimate","15,401","8,925","633","2,933","4,066","1,293","6,476","316","1,566","2,688","1,906"
"    Margin of Error","±472","±273","±158","±436","±424","±257","±336","±146","±286","±364","±281"
"Arizona","","","","","","","","","","",""
"    Estimate","196,606","100,895","10,702","26,046","39,919","24,228","95,711","9,536","20,485","40,026","25,664"
"    Margin of Error","±1,501","±1,120","±905","±1,093","±1,297","±1,133","±938","±884","±1,013","±1,333","±1,042"
"Arkansas","","","","","","","","","","",""
"    Estimate","281,226","128,156","22,214","54,311","35,688","15,943","153,070","23,805","46,964","53,869","28,432"
"    Margin of Error","±1,044","±717","±1,067","±1,521","±1,412","±1,048","±649","±1,074","±1,608","±1,616","±1,265"
"California","","","","","","","","","","",""
"    Estimate","1,544,982","753,780","84,910","196,396","290,997","181,477","791,202","73,015","175,480","327,037","215,670"
"    Margin of Error","±3,732","±2,431","±2,253","±3,363","±3,506","±3,132","±2,409","±2,013","±3,259","±3,417","±3,511"
"Colorado","","","","","","","","","","",""
"    Estimate","149,058","80,928","7,410","23,411","29,378","20,729","68,130","7,190","16,889","25,589","18,462"
"    Margin of Error","±1,432","±1,061","±770","±1,255","±1,296","±1,023","±781","±728","±856","±1,223","±974"
"Connecticut","","","","","","","","","","",""
"    Estimate","246,556","113,157","16,703","43,564","31,192","21,698","133,399","16,348","43,477","42,634","30,940"
"    Margin of Error","±1,777","±1,088","±959","±1,552","±1,338","±1,073","±1,056","±868","±1,541","±1,369","±1,259"
"Delaware","","","","","","","","","","",""
"    Estimate","136,568","61,745","7,391","25,307","16,197","12,850","74,823","7,259","25,381","23,172","19,011"
"    Margin of Error","±747","±454","±523","±1,050","±852","±864","±478","±622","±1,085","±1,075","±931"
"District of Columbia","","","","","","","","","","",""
"    Estimate","218,421","95,122","14,101","31,840","23,466","25,715","123,299","15,814","39,517","33,965","34,003"
"    Margin of Error","±753","±425","±1,051","±1,260","±1,238","±1,125","±575","±944","±1,309","±1,217","±1,020"
"Florida","","","","","","","","","","",""
"    Estimate","2,128,338","989,377","179,775","360,522","286,984","162,096","1,138,961","177,679","347,294","365,875","248,113"
