"Label (Grouping)","Total:","Total:!!Male:","Total:!!Male:!!Less than high school diploma","Total:!!Male:!!High school graduate (includes equivalency)","Total:!!Male:!!Some college or associate's degree","Total:!!Male:!!Bachelor's degree or higher","Total:!!Female:","Total:!!Female:!!Less than high school diploma","Total:!!Female:!!High school graduate (includes equivalency)","Total:!!Female:!!Some college or associate's degree","Total:!!Female:!!Bachelor's degree or higher"
"Alabama","","","","","","","","","","",""
"    Estimate","2,288,814","1,098,049","135,537","335,060","316,310","311,142","1,190,765","130,741","353,592","374,158","332,274"
"    Margin of Error","±728","±436","±2,426","±3,601","±3,668","±3,697","±459","±2,768","±3,708","±3,805","±3,652"
"Alaska","","","","","","","","","","",""
"    Estimate","319,243","169,066","7,544","45,126","60,799","55,597","150,177","5,660","32,258","52,564","59,695"
"    Margin of Error","±363","±267","±473","±1,256","±1,454","±1,250","±339","±525","±1,161","±1,462","±1,404"
"Arizona","","","","","","","","","","",""
"    Estimate","2,930,339","1,430,235","86,367","318,078","502,655","523,135","1,500,104","80,209","336,059","559,519","524,317"
"    Margin of Error","±843","±498","±2,236","±3,493","±3,508","±4,063","±488","±2,214","±3,606","±3,990","±4,293"
"Arkansas","","","","","","","","","","",""
"    Estimate","1,542,183","743,379","86,838","267,029","211,686","177,826","798,804","78,587","263,188","251,890","205,139"
"    Margin of Error","±443","±285","±1,903","±2,905","±2,518","±3,037","±261","±1,874","±2,888","±3,052","±3,098"
"California","","","","","","","","","","",""
"    Estimate","11,199,800","5,542,953","289,529","1,011,882","1,749,916","2,491,626","5,656,847","278,238","1,026,582","1,917,733","2,434,294"
"    Margin of Error","±1,982","±1,144","±3,875","±8,530","±8,240","±10,105","±1,196","±4,044","±7,904","±8,522","±10,399"
"Colorado","","","","","","","","","","",""
"    Estimate","2,795,761","1,386,552","51,635","274,134","411,159","649,624","1,409,209","45,008","262,101","431,061","671,039"
"    Margin of Error","±710","±431","±1,580","±3,793","±3,483","±4,140","±440","±1,498","±3,377","±3,694","±4,010"
"Connecticut","","","","","","","","","","",""
"    Estimate","1,771,370","847,063","49,965","225,476","200,497","371,125","924,307","48,094","230,731","235,815","409,667"
"    Margin of Error","±725","±409","±1,330","±3,382","±2,648","±3,314","±434","±1,610","±3,237","±2,337","±3,196"
"Delaware","","","","","","","","","","",""
"    Estimate","451,436","214,908","17,584","66,741","56,729","73,854","236,528","14,439","71,723","68,171","82,195"
"    Margin of Error","±256","±132","±824","±1,487","±1,323","±1,429","±169","±777","±1,533","±1,648","±1,481"
"District of Columbia","","","","","","","","","","",""
"    Estimate","198,177","100,184","489","2,355","5,812","91,528","97,993","581","1,688","5,177","90,547"
"    Margin of Error","±262","±129","±144","±315","±474","±579","±185","±127","±261","±493","±548"
"Florida","","","","","","","","","","",""
"    Estimate","8,744,092","4,230,294","329,293","1,164,385","1,266,675","1,469,941","4,513,798","293,166","1,295,325","1,468,256","1,457,051"
"    Margin of Error","±2,448","±1,318","±4,830","±9,283","±6,427","±9,345","±1,373","±5,041","±8,839","±6,673","±9,460"
"Georgia","","","","","","","","","","",""
"    Estimate","3,916,069","1,892,255","193,561","520,804","510,734","667,156","2,023,814","176,256","548,599","591,761","707,198"
"    Margin of Error","±1,292","±732","±3,568","±4,883","±4,745","±5,512","±867","±3,192","±5,245","±4,655","±5,779"
"Hawaii","","","","","","","","","","",""
"    Estimate","242,659","129,947","4,009","24,949","42,687","58,302","112,712","3,413","20,593","35,023","53,683"
"    Margin of Error","±199","±129","±364","±800","±1,098","±998","±141","±468","±900","±1,166","±1,184"
"Idaho","","","","","","","","","","",""
"    Estimate","956,115","470,330","31,598","133,173","164,664","140,895","485,785","28,129","126,858","190,378","140,420"
"    Margin of Error","±321","±200","±1,184","±2,380","±2,426","±2,496","±229","±1,311","±2,358","±2,688","±2,470"
"Illinois","","","","","","","","","","",""
"    Estimate","5,706,930","2,758,568","169,128","721,637","797,915","1,069,888","2,948,362","162,523","759,625","881,927","1,144,287"
"    Margin of Error","±819","±588","±2,797","±5,718","±5,369","±6,059","±458","±2,694","±5,277","±5,388","±6,884"
"Indiana","","","","","","","","","","",""
"    Estimate","3,666,437","1,770,905","175,692","625,348","495,957","473,908","1,895,532","167,311","627,602","573,811","526,808"
"    Margin of Error","±633","±394","±2,974","±5,310","±3,886","±4,882","±343","±2,906","±3,956","±4,702","±5,020"
"Iowa","","","","","","","","","","",""
"    Estimate","1,868,280","907,938","58,835","304,638","290,624","253,841","960,342","51,020","284,746","331,330","293,246"
"    Margin of Error","±514","±329","±1,514","±2,996","±2,691","±3,133","±278","±1,576","±2,995","±2,791","±2,662"
"Kansas","","","","","","","","","","",""
"    Estimate","1,530,206","742,071","45,300","200,727","234,115","261,929","788,135","41,819","193,797","262,960","289,559"
"    Margin of Error","±364","±207","±1,226","±2,233","±2,175","±2,772","±251","±1,370","±2,328","±2,602","±3,126"
"Kentucky","","","","","","","","","","",""
"    Estimate","2,635,316","1,266,147","182,541","448,647","338,145","296,814","1,369,169","165,823","430,388","423,214","349,744"
"    Margin of Error","±538","±412","±2,710","±3,965","±3,390","±4,256","±267","±3,266","±3,492","±3,506","±3,809"
"Louisiana","","","","","","","","","","",""
"    Estimate","1,948,934","943,492","118,427","320,465","249,402","255,198","1,005,442","98,393","333,179","279,675","294,195"
"    Margin of Error","±526","±319","±2,707","±3,935","±3,055","±3,097","±362","±2,360","±3,804","±3,221","±3,219"
"Maine","","","","","","","","","","",""
"    Estimate","924,484","443,997","36,771","150,786","125,244","131,196","480,487","28,441","143,366","145,413","163,267"
"    Margin of Error","±157","±109","±1,254","±2,064","±1,961","±2,020","±94","±1,283","±2,034","±1,757","±2,136"
"Maryland","","","","","","","","","","",""
"    Estimate","2,248,349","1,082,814","72,559","263,078","254,510","492,667","1,165,535","67,247","274,165","296,948","527,175"
"    Margin of Error","±667","±434","±1,669","±3,003","±2,940","±3,774","±423","±1,683","±2,895","±3,183","±4,009"
"Massachusetts","","","","","","","","","","",""
"    Estimate","3,612,618","1,719,395","108,522","434,198","380,817","795,858","1,893,223","102,105","426,171","467,066","897,881"
"    Margin of Error","±2,145","±1,226","±2,184","±5,052","±3,592","±5,010","±1,220","±2,097","±4,469","±3,884","±5,172"
"Michigan","","","","","","","","","","",""
"    Estimate","5,346,396","2,603,573","208,137","773,636","835,099","786,701","2,742,823","190,281","791,415","927,337","833,790"
"    Margin of Error","±622","±388","±2,744","±5,525","±4,294","±6,024","±398","±2,960","±5,138","±5,026","±5,827"
"Minnesota","","","","","","","","","","",""
"    Estimate","3,178,001","1,558,778","75,157","409,815","507,422","566,384","1,619,223","57,400","384,099","546,613","631,111"
"    Margin of Error","±490","±354","±1,294","±3,818","±3,295","±3,817","±245","±1,373","±2,707","±3,520","±4,130"
"Mississippi","","","","","","","","","","",""
"    Estimate","1,191,300","573,559","77,180","173,031","181,686","141,662","617,741","63,992","176,737","210,915","166,097"
"    Margin of Error","±559","±342","±2,281","±3,283","±3,102","±2,552","±357","±1,979","±3,036","±3,275","±2,986"
"Missouri","","","","","","","","","","",""
"    Estimate","3,424,173","1,655,297","157,784","537,734","474,477","485,302","1,768,876","149,230","524,881","545,581","549,184"
"    Margin of Error","±613","±363","±2,652","±4,149","±3,663","±4,715","±325","±2,534","±4,017","±3,822","±4,321"
"Montana","","","","","","","","","","",""
"    Estimate","646,116","321,574","20,259","96,351","101,013","103,951","324,542","16,484","88,749","108,878","110,431"
"    Margin of Error","±301","±228","±923","±2,008","±1,803","±1,860","±172","±814","±1,699","±1,650","±1,702"
"Nebraska","","","","","","","","","","",""
"    Estimate","1,046,093","510,506","27,600","139,440","176,277","167,189","535,587","23,504","134,394","187,868","189,821"
"    Margin of Error","±269","±172","±851","±1,666","±1,750","±1,952","±159","±809","±1,741","±2,060","±2,053"
"Nevada","","","","","","","","","","",""
"    Estimate","1,132,972","575,156","35,740","156,407","210,638","172,371","557,816","33,182","152,135","209,138","163,361"
"    Margin of Error","±596","±421","±1,215","±2,375","±2,492","±2,464","±357","±1,168","±2,148","±2,523","±2,535"
"New Hampshire","","","","","","","","","","",""
"    Estimate","884,111","430,448","31,043","125,365","119,103","154,937","453,663","23,875","119,931","138,440","171,417"
"    Margin of Error","±314","±295","±1,258","±1,901","±1,949","±1,999","±99","±1,117","±1,988","±1,866","±2,210"
"New Jersey","","","","","","","","","","",""
"    Estimate","3,619,142","1,732,065","102,117","454,293","400,281","775,374","1,887,077","105,197","526,643","435,104","820,133"
"    Margin of Error","±1,005","±638","±1,911","±4,395","±3,525","±5,261","±535","±2,106","±4,198","±3,876","±4,829"
"New Mexico","","","","","","","","","","",""
"    Estimate","610,960","297,903","17,408","65,062","96,607","118,826","313,057","14,284","63,874","105,236","129,663"
"    Margin of Error","±632","±433","±1,032","±1,707","±1,793","±1,987","±470","±938","±1,645","±1,863","±2,098"
"New York","","","","","","","","","","",""
"    Estimate","7,977,098","3,842,277","271,636","982,877","960,345","1,627,419","4,134,821","256,912","1,039,689","1,038,121","1,800,099"
"    Margin of Error","±1,652","±1,032","±3,962","±7,141","±6,003","±8,160","±904","±3,183","±6,303","±5,874","±8,248"
"North Carolina","","","","","","","","","","",""
"    Estimate","4,718,733","2,258,639","221,464","581,462","677,472","778,241","2,460,094","184,019","593,430","810,472","872,173"
"    Margin of Error","±972","±583","±3,187","±5,841","±5,543","±6,447","±623","±3,623","±4,936","±5,741","±6,397"
"North Dakota","","","","","","","","","","",""
"    Estimate","434,504","220,377","15,351","61,776","81,344","61,906","214,127","11,806","52,756","76,055","73,510"
"    Margin of Error","±207","±103","±835","±1,173","±1,388","±1,307","±146","±582","±1,163","±1,202","±1,294"
"Ohio","","","","","","","","","","",""
"    Estimate","6,541,263","3,153,769","278,843","1,095,504","864,647","914,775","3,387,494","269,609","1,116,306","998,253","1,003,326"
"    Margin of Error","±714","±452","±3,604","±6,406","±4,936","±7,324","±413","±3,795","±6,114","±5,833","±6,916"
"Oklahoma","","","","","","","","","","",""
"    Estimate","1,853,430","895,514","83,918","289,153","274,958","247,485","957,916","83,527","289,798","313,095","271,496"
"    Margin of Error","±424","±305","±1,573","±3,058","±2,380","±2,809","±242","±1,502","±2,852","±2,868","±2,816"
"Oregon","","","","","","","","","","",""
"    Estimate","2,333,424","1,134,156","75,773","267,662","394,038","396,683","1,199,268","64,703","269,058","438,767","426,740"
"    Margin of Error","±581","±372","±2,051","±3,036","±3,777","±3,441","±315","±2,094","±2,975","±3,825","±3,988"
"Pennsylvania","","","","","","","","","","",""
"    Estimate","7,176,924","3,458,424","269,959","1,238,330","815,648","1,134,487","3,718,500","262,669","1,306,906","920,303","1,228,622"
"    Margin of Error","±864","±508","±3,382","±7,128","±5,231","±7,145","±482","±3,298","±7,065","±5,226","±8,066"
"Rhode Island","","","","","","","","","","",""
"    Estimate","569,265","269,296","23,434","76,589","69,160","100,113","299,969","24,296","77,546","83,898","114,229"
"    Margin of Error","±580","±356","±1,135","±1,701","±1,346","±1,870","±304","±1,062","±1,854","±1,687","±1,724"
"South Carolina","","","","","","","","","","",""
"    Estimate","2,324,975","1,114,174","111,414","303,581","328,322","370,857","1,210,801","101,636","321,947","388,600","398,618"
"    Margin of Error","±564","±330","±2,544","±3,807","±3,147","±3,987","±392","±2,164","±3,292","±3,512","±3,268"
"South Dakota","","","","","","","","","","",""
"    Estimate","495,899","246,152","16,915","78,786","78,777","71,674","249,747","13,009","71,117","85,069","80,552"
"    Margin of Error","±196","±177","±752","±1,496","±1,319","±1,393","±140","±768","±1,490","±1,374","±1,712"
"Tennessee","","","","","","","","","","",""
"    Estimate","3,553,558","1,704,649","200,327","565,740","453,248","485,334","1,848,909","190,328","586,282","539,514","532,785"
"    Margin of Error","±793","±502","±3,081","±4,783","±4,126","±4,523","±450","±3,083","±4,437","±4,607","±5,184"
"Texas","","","","","","","","","","",""
"    Estimate","8,572,364","4,184,826","259,243","972,971","1,306,365","1,646,247","4,387,538","260,460","1,027,264","1,430,369","1,669,445"
"    Margin of Error","±2,002","±1,181","±4,217","±8,328","±7,410","±9,806","±1,139","±4,194","±6,518","±6,932","±8,772"
"Utah","","","","","","","","","","",""
"    Estimate","1,483,251","734,295","34,154","152,724","255,269","292,148","748,956","30,512","167,929","296,209","254,306"
"    Margin of Error","±515","±277","±1,509","±2,553","±2,550","±2,954","±376","±1,192","±2,239","±2,342","±2,656"
"Vermont","","","","","","","","","","",""
"    Estimate","416,037","201,544","17,255","65,908","48,107","70,274","214,493","11,267","56,108","59,391","87,727"
"    Margin of Error","±87","±52","±742","±1,282","±921","±1,347","±69","±599","±1,213","±1,181","±1,259"
"Virginia","","","","","","","","","","",""
"    Estimate","3,767,293","1,831,071","149,204","438,857","466,457","776,553","1,936,222","129,089","447,808","547,151","812,174"
"    Margin of Error","±713","±513","±2,975","±4,376","±4,179","±5,039","±488","±2,741","±4,389","±3,639","±5,296"
"Washington","","","","","","","","","","",""
"    Estimate","3,750,649","1,849,135","101,527","425,435","624,958","697,215","1,901,514","88,495","409,280","697,058","706,681"
"    Margin of Error","±724","±410","±2,121","±4,648","±4,896","±5,067","±449","±2,158","±4,408","±4,074","±4,863"
"West Virginia","","","","","","","","","","",""
"    Estimate","1,203,437","582,453","83,554","249,860","134,785","114,254","620,984","74,819","241,917","173,237","131,011"
"    Margin of Error","±544","±433","±1,995","±2,626","±2,537","±2,493","±292","±1,959","±2,650","±2,554","±2,630"
"Wisconsin","","","","","","","","","","",""
"    Estimate","3,381,290","1,660,409","106,619","531,874","521,954","499,962","1,720,881","84,464","511,902","556,703","567,812"
"    Margin of Error","±527","±283","±1,879","±3,638","±3,434","±4,222","±304","±1,489","±3,372","±3,575","±3,964"
"Wyoming","","","","","","","","","","",""
"    Estimate","340,666","171,436","9,083","53,622","60,601","48,130","169,230","8,475","44,486","65,758","50,511"
"    Margin of Error","±281","±160","±595","±1,540","±1,435","±1,087","±171","±610","±1,287","±1,293","±1,218"
"Puerto Rico","","","","","","","","","","",""
"    Estimate","23,045","12,180","1,780","2,706","3,430","4,264","10,865","1,362","2,312","2,686","4,505"
"    Margin of Error","±1,356","±858","±330","±417","±472","±495","±823","±246","±345","±379","±512"
