"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children of householder under 18 years","FAMILIES!!Families!!With no own children of householder under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Married-couple families!!With own children under 18 years","FAMILIES!!Families!!Female householder, no spouse present","FAMILIES!!Families!!Female householder, no spouse present!!With own children under 18 years","FAMILIES!!Families!!Male householder, no spouse present","FAMILIES!!Families!!Male householder, no spouse present!!With own children under 18 years","FAMILY INCOME BY FAMILY SIZE","FAMILY INCOME BY FAMILY SIZE!!2-person families","FAMILY INCOME BY FAMILY SIZE!!3-person families","FAMILY INCOME BY FAMILY SIZE!!4-person families","FAMILY INCOME BY FAMILY SIZE!!5-person families","FAMILY INCOME BY FAMILY SIZE!!6-person families","FAMILY INCOME BY FAMILY SIZE!!7-or-more person families","FAMILY INCOME BY NUMBER OF EARNERS","FAMILY INCOME BY NUMBER OF EARNERS!!No earners","FAMILY INCOME BY NUMBER OF EARNERS!!1 earner","FAMILY INCOME BY NUMBER OF EARNERS!!2 earners","FAMILY INCOME BY NUMBER OF EARNERS!!3 or more earners","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,867,893","","1,304,833","489,933","9,848","21,325","568","17,117","24,269","53,081","1,271,914","","72,885","570,848","713,931","510,229","","1,227,508","482,217","745,291","883,521","313,139","264,617","134,779","79,370","34,299","","614,171","277,961","208,740","85,089","28,805","12,742","","233,390","433,409","461,789","98,920","","640,385","347,682","311,963","35,719","292,703","244,446","48,257"
"        Margin of Error","","±5,799","","±3,984","±3,172","±663","±758","±164","±773","±942","±1,249","±3,776","","±1,444","±3,682","±2,556","±2,648","","±5,782","±5,100","±3,796","±5,502","±4,409","±3,886","±2,939","±1,927","±1,489","","±4,242","±3,919","±3,267","±1,974","±1,245","±715","","±2,759","±4,228","±5,172","±2,124","","±4,688","±4,163","±3,850","±1,406","±3,401","±3,161","±1,375"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,867,893","","69.9%","26.2%","0.5%","1.1%","0.0%","0.9%","1.3%","2.8%","68.1%","","3.9%","30.6%","38.2%","27.3%","","1,227,508","39.3%","60.7%","72.0%","25.5%","21.6%","11.0%","6.5%","2.8%","","50.0%","22.6%","17.0%","6.9%","2.3%","1.0%","","19.0%","35.3%","37.6%","8.1%","","640,385","54.3%","48.7%","5.6%","45.7%","38.2%","7.5%"
"        Margin of Error","","±5,799","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","","±5,782","±0.3","±0.3","±0.3","±0.3","±0.3","±0.2","±0.2","±0.1","","±0.3","±0.3","±0.2","±0.2","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.2","","±4,688","±0.5","±0.4","±0.2","±0.5","±0.4","±0.2"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","50,536","","57,551","33,928","50,114","63,149","28,377","36,195","44,274","41,584","57,935","","23,691","54,821","60,250","39,518","","64,430","61,937","65,876","79,819","87,714","30,120","22,307","43,762","37,442","","57,585","66,196","80,762","76,851","71,942","69,262","","34,269","48,393","89,615","110,777","","27,335","23,665","22,093","44,829","32,869","30,236","52,237"
"        Margin of Error","","±304","","±373","±478","±5,092","±3,805","±13,016","±1,809","±2,066","±1,440","±391","","±1,077","±480","±554","±361","","±396","±816","±476","±522","±1,113","±454","±420","±1,217","±1,835","","±499","±1,014","±1,038","±1,754","±3,567","±3,449","","±479","±629","±567","±2,014","","±282","±370","±349","±2,014","±748","±509","±1,708"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","253,346","","184,437","8,218","29,726","11,608","2,029","3,487","13,841","14,574","175,492","","12,609","91,795","99,826","49,116","","166,325","77,903","88,422","124,603","54,017","26,853","15,645","14,869","8,241","","74,262","36,124","29,358","14,830","6,239","5,512","","16,909","53,442","75,999","19,975","","87,021","38,490","30,387","8,103","48,531","35,828","12,703"
