Offender Characteristics from NCRP,,Year,,,,
State,Race/Hispanic Ethnicity of Inmate,2015,2016,2017,2018,2019
ALABAMA,"White, non-Hispanic",12969,12301,12188,12252,13129
,"Black, non-Hispanic",*,*,*,*,*
,"Hispanic, any race",*,*,*,*,*
,"Other race(s), non-Hispanic",*,*,*,*,*
,Missing,17839,16579,15415,14585,15173
ALASKA,"White, non-Hispanic",2565,2067,2031,1971,1991
,"Black, non-Hispanic",501,443,449,458,441
,"Hispanic, any race",137,132,120,145,135
,"Other race(s), non-Hispanic",2098,1754,1766,1779,1884
,Missing,37,38,34,27,24
ARIZONA,"White, non-Hispanic",16754,16475,16350,16392,*
,"Black, non-Hispanic",5831,5860,5915,6096,*
,"Hispanic, any race",17232,17017,16730,16406,*
,"Other race(s), non-Hispanic",2897,2956,3024,3093,*
,Missing,*,12,12,18,*
ARKANSAS,"White, non-Hispanic",9794,9744,10116,9984,10049
,"Black, non-Hispanic",7225,7067,7192,7069,6959
,"Hispanic, any race",93,85,92,83,85
,"Other race(s), non-Hispanic",595,642,670,663,665
,Missing,*,*,*,*,*
CALIFORNIA,"White, non-Hispanic",28295,28253,28116,27251,25662
,"Black, non-Hispanic",37128,37142,37339,36501,34801
,"Hispanic, any race",54883,55835,56838,56499,54337
,"Other race(s), non-Hispanic",9094,8850,8742,8370,7883
,Missing,193,*,*,*,*
COLORADO,"White, non-Hispanic",9219,9260,9210,9386,9067
,"Black, non-Hispanic",3637,3559,3511,3537,3504
,"Hispanic, any race",6366,6325,6326,6463,6224
,"Other race(s), non-Hispanic",818,837,898,986,987
,Missing,*,*,*,*,*
CONNECTICUT,"White, non-Hispanic",5214,4779,4386,4179,3876
,"Black, non-Hispanic",6449,6193,5835,5851,5453
,"Hispanic, any race",4017,3882,3712,3564,3381
,"Other race(s), non-Hispanic",135,103,107,87,113
,Missing,*,*,*,*,*
DELAWARE,"White, non-Hispanic",2674,2613,2479,2236,2007
,"Black, non-Hispanic",3715,3710,3713,3604,3405
,"Hispanic, any race",255,248,243,221,266
,"Other race(s), non-Hispanic",*,11,*,*,*
,Missing,*,*,*,*,*
FLORIDA,"White, non-Hispanic",39967,39096,38794,38686,37837
,"Black, non-Hispanic",47867,47143,46191,45480,44772
,"Hispanic, any race",12126,12167,11783,11724,11599
,"Other race(s), non-Hispanic",607,604,675,743,756
,Missing,857,965,1061,904,1045
GEORGIA,"White, non-Hispanic",18069,18754,19153,19165,19811
,"Black, non-Hispanic",31824,32558,32200,32083,32640
,"Hispanic, any race",2064,2059,2069,2164,2138
,"Other race(s), non-Hispanic",225,248,233,229,224
,Missing,11,*,12,*,*
HAWAII,"White, non-Hispanic",1304,1263,1300,1216,1233
,"Black, non-Hispanic",276,273,272,224,225
,"Hispanic, any race",165,162,154,138,136
,"Other race(s), non-Hispanic",3787,3559,3525,3401,3267
,Missing,346,345,379,396,418
IDAHO,"White, non-Hispanic",6082,6102,*,6495,8213
,"Black, non-Hispanic",209,211,*,247,286
,"Hispanic, any race",1261,234,*,194,203
,"Other race(s), non-Hispanic",411,405,*,466,527
,Missing,90,1300,*,1262,208
ILLINOIS,"White, non-Hispanic",13604,13210,12453,12378,12240
,"Black, non-Hispanic",26571,24671,23401,22159,20880
,"Hispanic, any race",5801,5523,5316,5120,4836
,"Other race(s), non-Hispanic",239,235,241,266,259
,Missing,25,18,15,42,43
INDIANA,"White, non-Hispanic",16659,15495,15869,16540,16813
,"Black, non-Hispanic",9309,8793,8902,9032,8994
,"Hispanic, any race",1145,1045,1032,1045,1074
,"Other race(s), non-Hispanic",217,192,198,212,262
,Missing,25,21,23,47,36
IOWA,"White, non-Hispanic",5814,5897,5939,6207,6116
,"Black, non-Hispanic",2220,2286,2249,2373,2321
,"Hispanic, any race",576,602,599,590,607
,"Other race(s), non-Hispanic",237,245,234,246,236
,Missing,*,*,*,*,*
KANSAS,"White, non-Hispanic",5627,5602,5719,5847,5847
