"Label (Grouping)","Population 16 years and over","Population 16 years and over!!AGE","Population 16 years and over!!AGE!!16 to 19 years","Population 16 years and over!!AGE!!20 to 24 years","Population 16 years and over!!AGE!!25 to 29 years","Population 16 years and over!!AGE!!30 to 34 years","Population 16 years and over!!AGE!!35 to 44 years","Population 16 years and over!!AGE!!45 to 54 years","Population 16 years and over!!AGE!!55 to 59 years","Population 16 years and over!!AGE!!60 to 64 years","Population 16 years and over!!AGE!!65 to 74 years","Population 16 years and over!!AGE!!75 years and over","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Population 20 to 64 years","Population 20 to 64 years!!SEX","Population 20 to 64 years!!SEX!!Male","Population 20 to 64 years!!SEX!!Female","Population 20 to 64 years!!SEX!!Female!!With own children under 18 years","Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only","Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17  years","Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children 6 to 17 years only","Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS","Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level","Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level","Population 20 to 64 years!!DISABILITY STATUS","Population 20 to 64 years!!DISABILITY STATUS!!With any disability","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,907,144","","258,087","328,180","332,622","305,325","596,388","632,659","333,209","315,793","476,681","328,200","","2,719,092","1,014,203","21,081","52,548","1,625","44,109","54,486","132,451","2,637,724","2,844,176","","1,384,721","1,459,455","506,078","116,229","96,836","293,013","","434,311","2,350,668","","405,633","","2,515,996","311,386","743,368","793,439","667,803"
"        Margin of Error","±1,628","","±2,011","±1,250","±1,103","±1,105","±1,368","±1,138","±2,996","±3,021","±814","±686","","±2,885","±1,835","±1,072","±883","±330","±2,041","±1,667","±555","±1,376","±1,508","","±1,119","±1,190","±4,707","±2,492","±2,186","±3,663","","±6,255","±6,824","","±4,868","","±1,451","±4,421","±6,749","±5,746","±7,502"
"    Labor Force Participation Rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","57.4%","","34.3%","71.0%","79.3%","79.4%","78.4%","74.1%","63.1%","46.7%","21.3%","6.1%","","57.0%","57.6%","55.2%","64.7%","67.2%","68.2%","59.0%","66.6%","56.7%","71.5%","","76.7%","66.5%","72.3%","71.4%","65.6%","74.9%","","43.2%","78.1%","","33.6%","","71.5%","48.7%","65.7%","75.3%","84.3%"
"        Margin of Error","±0.2","","±0.8","±0.7","±0.5","±0.6","±0.4","±0.4","±0.6","±0.6","±0.4","±0.3","","±0.2","±0.4","±2.7","±1.6","±7.6","±2.0","±1.3","±0.9","±0.2","±0.3","","±0.3","±0.3","±0.5","±1.2","±1.1","±0.6","","±0.7","±0.2","","±0.6","","±0.3","±0.7","±0.4","±0.4","±0.3"
"    Employment/Population Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","53.7%","","27.6%","62.3%","72.2%","73.5%","74.2%","71.1%","61.0%","45.6%","20.6%","5.9%","","54.1%","51.9%","50.9%","62.5%","52.8%","64.3%","51.8%","62.6%","53.8%","67.1%","","71.8%","62.7%","67.9%","65.7%","60.4%","71.3%","","33.1%","74.8%","","29.2%","","67.7%","43.2%","61.6%","71.3%","81.8%"
"        Margin of Error","±0.2","","±0.7","±0.7","±0.6","±0.6","±0.5","±0.4","±0.6","±0.5","±0.4","±0.3","","±0.2","±0.4","±2.6","±1.6","±7.7","±2.1","±1.4","±0.9","±0.2","±0.3","","±0.3","±0.3","±0.5","±1.3","±1.1","±0.7","","±0.6","±0.2","","±0.6","","±0.3","±0.7","±0.4","±0.4","±0.3"
