"Label (Grouping)","Occupied housing units","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!White","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Black or African American","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!American Indian and Alaska Native","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Asian","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Native Hawaiian and Other Pacific Islander","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!One race --!!Some other race","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Hispanic or Latino origin","Occupied housing units!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone, not Hispanic or Latino","Occupied housing units!!AGE OF HOUSEHOLDER","Occupied housing units!!AGE OF HOUSEHOLDER!!Under 35 years","Occupied housing units!!AGE OF HOUSEHOLDER!!35 to 44 years","Occupied housing units!!AGE OF HOUSEHOLDER!!45 to 54 years","Occupied housing units!!AGE OF HOUSEHOLDER!!55 to 64 years","Occupied housing units!!AGE OF HOUSEHOLDER!!65 to 74 years","Occupied housing units!!AGE OF HOUSEHOLDER!!75 to 84 years","Occupied housing units!!AGE OF HOUSEHOLDER!!85 years and over","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college or associate's degree","Occupied housing units!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2017 or later","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2015 to 2016","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2010 to 2014","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 2000 to 2009","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1990 to 1999","Occupied housing units!!YEAR HOUSEHOLDER MOVED INTO UNIT!!Moved in 1989 or earlier"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,867,893","","","1,304,833","489,933","9,848","21,325","568","17,117","24,269","53,081","1,271,914","","341,884","301,849","339,733","374,198","295,600","160,141","54,488","","228,510","529,452","595,555","514,376","","180,477","269,240","422,058","467,301","253,828","274,989"
"        Margin of Error","±5,799","","","±3,984","±3,172","±663","±758","±164","±773","±942","±1,249","±3,776","","±3,211","±2,520","±2,144","±2,124","±2,004","±2,026","±1,366","","±3,144","±4,959","±5,390","±6,264","","±3,209","±3,688","±4,772","±4,544","±3,046","±3,062"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,867,893","","","69.9%","26.2%","0.5%","1.1%","0.0%","0.9%","1.3%","2.8%","68.1%","","18.3%","16.2%","18.2%","20.0%","15.8%","8.6%","2.9%","","12.2%","28.3%","31.9%","27.5%","","9.7%","14.4%","22.6%","25.0%","13.6%","14.7%"
"        Margin of Error","±5,799","","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,284,748","","","993,353","248,861","7,115","12,363","263","7,595","15,198","26,390","975,636","","132,804","187,449","247,103","293,618","244,373","136,417","42,984","","132,769","352,851","395,637","403,491","","64,709","105,955","229,612","391,602","234,438","258,432"
"        Margin of Error","±7,548","","","±5,453","±2,996","±530","±687","±122","±622","±824","±1,241","±5,240","","±2,222","±2,820","±2,098","±2,482","±2,003","±1,920","±1,267","","±2,336","±3,586","±4,482","±5,419","","±2,020","±2,186","±3,195","±4,255","±3,126","±2,955"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,284,748","","","77.3%","19.4%","0.6%","1.0%","0.0%","0.6%","1.2%","2.1%","75.9%","","10.3%","14.6%","19.2%","22.9%","19.0%","10.6%","3.3%","","10.3%","27.5%","30.8%","31.4%","","5.0%","8.2%","17.9%","30.5%","18.2%","20.1%"
"        Margin of Error","±7,548","","","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","","±0.1","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","","±0.2","±0.3","±0.3","±0.3","","±0.2","±0.2","±0.2","±0.3","±0.2","±0.2"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
