"state_vector","year_2015_White, non-Hispanic","year_2015_Black, non-Hispanic","year_2015_Hispanic, any race","year_2015_Other race(s), non-Hispanic","year_2015_Missing","year_2015_NA","year_2016_White, non-Hispanic","year_2016_Black, non-Hispanic","year_2016_Hispanic, any race","year_2016_Other race(s), non-Hispanic","year_2016_Missing","year_2016_NA","year_2017_White, non-Hispanic","year_2017_Black, non-Hispanic","year_2017_Hispanic, any race","year_2017_Other race(s), non-Hispanic","year_2017_Missing","year_2017_NA","year_2018_White, non-Hispanic","year_2018_Black, non-Hispanic","year_2018_Hispanic, any race","year_2018_Other race(s), non-Hispanic","year_2018_Missing","year_2018_NA","year_2019_White, non-Hispanic","year_2019_Black, non-Hispanic","year_2019_Hispanic, any race","year_2019_Other race(s), non-Hispanic","year_2019_Missing","year_2019_NA"
"Alabama",12969,NA,NA,NA,17839,NA,12301,NA,NA,NA,16579,NA,12188,NA,NA,NA,15415,NA,12252,NA,NA,NA,14585,NA,13129,NA,NA,NA,15173,NA
"Alaska",2565,501,137,2098,37,NA,2067,443,132,1754,38,NA,2031,449,120,1766,34,NA,1971,458,145,1779,27,NA,1991,441,135,1884,24,NA
"Arizona",16754,5831,17232,2897,NA,NA,16475,5860,17017,2956,12,NA,16350,5915,16730,3024,12,NA,16392,6096,16406,3093,18,NA,NA,NA,NA,NA,NA,NA
"Arkansas",9794,7225,93,595,NA,NA,9744,7067,85,642,NA,NA,10116,7192,92,670,NA,NA,9984,7069,83,663,NA,NA,10049,6959,85,665,NA,NA
"California",28295,37128,54883,9094,193,NA,28253,37142,55835,8850,NA,NA,28116,37339,56838,8742,NA,NA,27251,36501,56499,8370,NA,NA,25662,34801,54337,7883,NA,NA
"Colorado",9219,3637,6366,818,NA,NA,9260,3559,6325,837,NA,NA,9210,3511,6326,898,NA,NA,9386,3537,6463,986,NA,NA,9067,3504,6224,987,NA,NA
"Connecticut",5214,6449,4017,135,NA,NA,4779,6193,3882,103,NA,NA,4386,5835,3712,107,NA,NA,4179,5851,3564,87,NA,NA,3876,5453,3381,113,NA,NA
"Delaware",2674,3715,255,NA,NA,NA,2613,3710,248,11,NA,NA,2479,3713,243,NA,NA,NA,2236,3604,221,NA,NA,NA,2007,3405,266,NA,NA,NA
"District of Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida",39967,47867,12126,607,857,NA,39096,47143,12167,604,965,NA,38794,46191,11783,675,1061,NA,38686,45480,11724,743,904,NA,37837,44772,11599,756,1045,NA
"Georgia",18069,31824,2064,225,11,NA,18754,32558,2059,248,NA,NA,19153,32200,2069,233,12,NA,19165,32083,2164,229,NA,NA,19811,32640,2138,224,NA,NA
"Hawaii",1304,276,165,3787,346,NA,1263,273,162,3559,345,NA,1300,272,154,3525,379,NA,1216,224,138,3401,396,NA,1233,225,136,3267,418,NA
"Idaho",6082,209,1261,411,90,NA,6102,211,234,405,1300,NA,NA,NA,NA,NA,NA,NA,6495,247,194,466,1262,NA,8213,286,203,527,208,NA
"Illinois",13604,26571,5801,239,25,NA,13210,24671,5523,235,18,NA,12453,23401,5316,241,15,NA,12378,22159,5120,266,42,NA,12240,20880,4836,259,43,NA
"Indiana",16659,9309,1145,217,25,NA,15495,8793,1045,192,21,NA,15869,8902,1032,198,23,NA,16540,9032,1045,212,47,NA,16813,8994,1074,262,36,NA
"Iowa",5814,2220,576,237,NA,NA,5897,2286,602,245,NA,NA,5939,2249,599,234,NA,NA,6207,2373,590,246,NA,NA,6116,2321,607,236,NA,NA
"Kansas",5627,2851,1094,285,NA,NA,5602,2849,1164,304,NA,NA,5719,2778,1227,290,NA,NA,5847,2781,1263,327,NA,NA,5847,2760,1262,308,NA,NA
"Kentucky",16258,4738,196,257,253,NA,17411,4853,209,286,263,NA,17760,4972,216,304,290,NA,17729,4893,206,309,293,NA,17395,4853,224,326,285,NA
"Louisiana",NA,NA,95,NA,36282,NA,NA,NA,89,NA,35593,NA,NA,NA,89,NA,33650,NA,NA,NA,89,NA,32308,NA,NA,NA,70,NA,31539,NA
"Maine",1948,192,NA,101,38,NA,2043,213,NA,106,42,NA,1985,252,NA,110,57,NA,1963,261,NA,129,72,NA,1778,228,NA,100,79,NA
"Maryland",4889,12689,648,390,2148,NA,4838,12610,638,285,1622,NA,4603,12421,660,285,1398,NA,4333,12324,704,285,1209,NA,4093,12364,757,283,1098,NA
"Massachusetts",3927,2607,2618,285,485,NA,3691,2491,2508,257,457,NA,3561,2400,2530,227,414,NA,3425,2259,2427,204,376,NA,3093,2212,2360,188,352,NA
"Michigan",NA,NA,1563,NA,41065,NA,NA,NA,1559,NA,39563,NA,NA,NA,1523,NA,38143,NA,NA,NA,1556,NA,37205,NA,NA,NA,NA,NA,NA,NA
"Minnesota",4955,3828,707,1301,NA,NA,4982,3652,688,1259,11,NA,5039,3723,635,1307,NA,NA,4634,3679,600,1182,NA,NA,4655,3630,564,1125,NA,NA
"Mississippi",6396,12283,143,68,21,NA,6779,12167,153,65,28,NA,6952,11903,131,65,53,NA,6977,12025,147,79,48,NA,7122,12033,132,75,55,NA
"Missouri",19204,10185,602,172,2167,NA,19345,9799,606,157,2554,NA,19385,9323,674,166,3054,NA,17968,8180,619,157,3445,NA,14950,7221,543,124,3206,NA
"Montana",1261,29,13,313,2069,NA,1785,50,NA,479,1491,NA,2713,90,36,831,28,NA,2747,88,71,847,13,NA,3346,130,127,1103,16,NA
"Nebraska",2949,1434,674,306,NA,NA,2842,1487,666,298,NA,NA,2790,1520,702,295,NA,NA,2863,1540,766,318,NA,NA,2922,1573,831,354,NA,NA
"Nevada",5617,3711,2843,636,265,NA,5739,4090,2973,696,258,NA,5708,4182,2958,650,222,NA,5609,4222,2955,673,182,NA,5181,3996,2857,646,159,NA
"New Hampshire",2442,194,181,23,56,NA,2351,211,185,21,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey",4689,12349,3221,141,89,NA,4408,12031,3095,136,116,NA,4302,11952,3037,137,158,NA,4250,11831,2944,136,201,NA,NA,NA,NA,NA,NA,NA
"New Mexico",1754,508,4273,519,49,NA,NA,NA,NA,NA,NA,NA,1832,506,4399,501,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New York",12912,25534,11545,1411,325,NA,12669,24827,11465,1487,269,NA,12303,24218,11259,1441,240,NA,11470,22852,10670,1383,261,NA,10633,21405,9962,1271,229,NA
"North Carolina",13500,18218,1876,1000,2024,NA,13222,17675,1844,946,2010,NA,13687,17796,1940,944,2027,NA,13239,16783,1918,923,2037,NA,12892,16366,1881,862,2077,NA
"North Dakota",1163,139,99,373,22,NA,1135,165,103,367,21,NA,1077,170,99,356,22,NA,1051,186,101,335,21,NA,1093,183,110,387,21,NA
"Ohio",27553,23006,1264,344,67,NA,27451,23016,1291,377,39,NA,26621,22994,1346,434,84,NA,26036,22534,1392,455,14,NA,26128,22303,1391,503,14,NA
"Oklahoma",3979,2505,2203,734,19127,NA,3853,2436,2338,721,20568,NA,3137,1993,2150,574,20288,NA,2685,1713,2054,492,20013,NA,2528,1592,2032,460,19066,NA
"Oregon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11248,1366,1887,711,NA,NA,11063,1438,2004,727,36,NA,10749,1439,2017,706,50,NA
"Pennsylvania",20661,23591,5267,183,156,NA,20807,23005,5094,174,165,NA,20679,22420,4884,167,184,NA,20408,21792,4661,164,213,NA,20013,20866,4442,160,221,NA
"Rhode Island",1419,974,757,97,NA,NA,1332,933,747,90,NA,NA,1231,842,694,93,NA,NA,1191,823,649,104,NA,NA,1170,791,677,102,NA,NA
"South Carolina",7189,12894,436,189,222,NA,7486,12511,463,178,220,NA,7149,11921,464,172,199,NA,6960,11206,458,176,234,NA,6856,10854,491,164,244,NA
"South Dakota",NA,NA,NA,NA,3564,NA,NA,NA,NA,NA,3831,NA,NA,NA,NA,NA,3970,NA,NA,NA,NA,NA,3948,NA,NA,NA,NA,NA,3801,NA
"Tennessee",15591,11937,551,33,61,NA,15820,11756,532,35,60,NA,16625,11707,541,32,76,NA,15222,10484,504,37,74,NA,15293,10418,532,41,66,NA
"Texas",52774,54501,55775,852,NA,NA,53038,54041,55737,885,NA,NA,52752,52959,55942,870,NA,NA,53461,52894,56408,864,NA,NA,51998,51098,54477,856,NA,NA
"Utah",4154,372,1414,254,302,NA,3848,361,1406,252,307,NA,3880,365,1423,250,302,NA,4133,382,1551,274,311,NA,3960,396,1560,279,470,NA
