"state","num_residents_2015_white_nh","num_residents_2015_black_nh","num_residents_2016_white_nh","num_residents_2016_black_nh","num_residents_2017_white_nh","num_residents_2017_black_nh","num_residents_2018_white_nh","num_residents_2018_black_nh","num_residents_2019_white_nh","num_residents_2019_black_nh","num_incarcerated_2015_black_nh","num_incarcerated_2016_black_nh","num_incarcerated_2017_black_nh","num_incarcerated_2018_black_nh","num_incarcerated_2019_black_nh","num_incarcerated_2015_white_nh","num_incarcerated_2016_white_nh","num_incarcerated_2017_white_nh","num_incarcerated_2018_white_nh","num_incarcerated_2019_white_nh","white_incarceration_rate_2015","white_incarceration_rate_2016","white_incarceration_rate_2017","white_incarceration_rate_2018","white_incarceration_rate_2019","black_incarceration_rate_2015","black_incarceration_rate_2016","black_incarceration_rate_2017","black_incarceration_rate_2018","black_incarceration_rate_2019","white_incarceration_rate_2015_2019","black_incarceration_rate_2015_2019","incarceration_RR"
"Alabama",4156826,1754190,4134406,1754248,4109100,1751922,4087640,1746514,4070224,1739482,NA,NA,NA,NA,NA,12969,12301,12188,12252,13129,311.992852238703,297.52762549203,296.609963252294,299.73285318668,322.562099776327,NA,NA,NA,NA,NA,305.685078789207,NA,NA
"Alaska",644856,35808,637124,36308,622668,36328,608872,35874,597590,35290,501,443,449,458,441,2565,2067,2031,1971,1991,397.76322155644,324.426642223492,326.177031740831,323.713358472717,333.171572482806,1399.12868632708,1220.11677867137,1235.96124201718,1276.69063946033,1249.64579200907,341.050365295257,1276.308627697,3.74228781896207
"Arizona",4742448,393884,4746340,409350,4742196,422520,4756048,437430,4772546,453582,5831,5860,5915,6096,NA,16754,16475,16350,16392,NA,353.277463453474,347.109562315384,344.776976742421,344.655899183524,NA,1480.38508799545,1431.53780383535,1399.93373094765,1393.59440367602,NA,347.454975423701,1426.36275661362,4.1051729216836
"Arkansas",2785226,618214,2773202,620146,2761652,619416,2747360,617886,2731806,615972,7225,7067,7192,7069,6959,9794,9744,10116,9984,10049,351.641123556939,351.362792901491,366.3024885105,363.403412730767,367.851889921905,1168.68915941729,1139.57035923799,1161.09367533289,1144.06217328116,1129.7591448962,360.11234152432,1148.6349024331,3.1896571430211
"California",19758500,3112720,19518810,3110228,19235568,3109320,18919182,3102922,18535290,3088772,37128,37142,37339,36501,34801,28295,28253,28116,27251,25662,143.204190601513,144.747553769928,146.166726139826,144.038997034861,138.449411905614,1192.78316070832,1194.18897907163,1200.87350288809,1176.34281493379,1126.69371517224,143.321375890348,1178.17643455482,8.22052137886403
"Colorado",5129964,305858,5176706,313142,5200266,317744,5224370,324672,5241992,329442,3637,3559,3511,3537,3504,9219,9260,9210,9386,9067,179.708863454013,178.87822874237,177.106324945685,179.658025752387,172.968596670884,1189.11390252993,1136.54508178398,1104.97759202377,1089.40715552927,1063.61666089934,177.664007913068,1116.73207855326,6.28564047198396
"Connecticut",3237882,499894,3187962,503200,3136780,507112,3083366,511116,3025176,516432,6449,6193,5835,5851,5453,5214,4779,4386,4179,3876,161.031192612949,149.90768396863,139.824915996659,135.533699210538,128.124776872486,1290.07349558106,1230.72337042925,1150.63339065137,1144.74991978338,1055.89893732379,142.884453732252,1174.41582275377,8.21933941781015
"Delaware",766530,275282,760672,278800,753882,281994,747270,285594,741286,289240,3715,3710,3713,3604,3405,2674,2613,2479,2236,2007,348.844794071987,343.512052500947,328.831302511534,299.222503245146,270.745704087221,1349.52521414404,1330.70301291248,1316.69468144712,1261.93127306596,1177.22306734891,318.231271283367,1287.2154497837,4.0449055952063
"District of Columbia",390094,425820,397508,425800,405396,422968,410948,419524,415020,413758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Florida",13578358,4281718,13612084,4349336,13594246,4407224,13528734,4446770,13465756,4480048,47867,47143,46191,45480,44772,39967,39096,38794,38686,37837,294.343395571099,287.215388914732,285.370737001523,285.954325068406,280.986823168339,1117.93910761989,1083.91257883962,1048.07470643652,1022.76483829836,999.364292525437,286.77413394482,1054.41110474397,3.67679989209505
