"state","incarceration_RR","renters_RR","median_income_ratio","no_college_RR","unemployment_RR"
"Alabama",NA,2.11236236570492,1.70758665409102,1.14130889800744,2.06521739130435
"Alaska",3.74228781896207,2.03203355321648,1.38028010483832,1.24015978442358,0.903846153846154
"Arizona",4.1051729216836,2.26132518842892,1.3644747393745,1.16136410420165,1.73469387755102
"Arkansas",3.1896571430211,1.97695153758369,1.61150608044902,1.12044501385106,2.04545454545455
"California",8.22052137886403,1.78181511053784,1.68005478712117,1.32626435881518,2.03921568627451
"Colorado",6.28564047198396,2.02540510902576,1.52042494726861,1.39698307449742,1.81578947368421
"Connecticut",8.21933941781015,2.51522975609884,1.82708163265306,1.40644629870324,2.26086956521739
"Delaware",4.0449055952063,2.48279041996993,1.46966898989297,1.17174087036098,1.76086956521739
"Florida",3.67679989209505,2.13621156372697,1.47911371157259,1.21345411232027,1.93617021276596
"Georgia",2.73361875905538,2.04935308672979,1.52126706962167,1.17152624113715,2
"Hawaii",1.98116388971881,1.78238822405997,1.17949711530182,1.30347655613215,2.06666666666667
"Idaho",3.67809467421963,2.25872826988121,1.33715201933355,1.04300025941729,2.125
"Illinois",7.79474845461276,2.40636912114329,1.91029995074275,1.28009669925825,3.27906976744186
"Indiana",4.52054023728809,2.43174314774706,1.71546066771744,1.1259504684888,2.675
"Iowa",8.53019755225486,2.93853628738708,1.94866050592738,1.17339114360268,3.3125
"Kansas",6.05657730885241,2.22327081282294,1.65650358465296,1.24754267000545,2.22857142857143
"Kentucky",2.79424305980538,2.21982733771916,1.43825499670547,1.09879439697683,1.86274509803922
"Louisiana",NA,2.1895966676572,1.99603798297315,1.17449842867408,2.12765957446809
"Maine",7.14904099386872,2.93953904706556,1.36411738654111,1.08740959652837,1.875
"Maryland",4.48499124545283,2.0992112816621,1.40920053859698,1.28009220927662,1.97368421052632
"Massachusetts",6.55856085007407,2.1871206522015,1.71011920836387,1.3876833080854,2.07317073170732
"Michigan",NA,2.61057686023865,1.74820225355303,1.18441089938049,2.89130434782609
"Minnesota",9.61415165592501,3.2443519131159,1.98209515749385,1.26434716341291,3.03448275862069
"Mississippi",2.53539952223307,2.10856039186514,1.83024028130494,1.14066138149838,2.13461538461538
"Missouri",3.25335980351909,2.22692039355669,1.59062911858845,1.16702424671428,2.35897435897436
"Montana",4.66954519125165,2.42036843742973,1.26644102748016,0.999668980233873,1.88571428571429
"Nebraska",8.3549222442422,2.36045783083919,1.80031131865688,1.19486678660807,3.07692307692308
"Nevada",3.81295313377363,1.96401644271758,1.61914509918604,1.16775619853232,1.87272727272727
"New Hampshire",5.59908325486611,2.50049102556611,1.33781614156237,1.1610620499421,2.38235294117647
"New Jersey",11.0362643494822,2.62732450924708,1.77403421789021,1.35363779237271,2.1304347826087
"New Mexico",5.18869217553982,2.15342660372355,1.47589320963285,1.21416671169941,1.46
"New York",7.22964556806206,2.06818801532229,1.62246432028338,1.33177548418613,2.21951219512195
"North Carolina",3.69398492785984,2.04785395362555,1.58627390815178,1.21059227044268,2.11627906976744
"North Dakota",4.01357285681542,2.75182608132338,1.80935783692438,1.12290923597768,3.31818181818182
"Ohio",5.2806098273464,2.31977829504638,1.85255443633512,1.17183231416107,2.67441860465116
"Oklahoma",5.3031174048553,2.10747074005008,1.6169254306437,1.11830497988872,2.26190476190476
"Oregon",4.65597756264733,1.93643294850241,1.54128264668566,1.12644666257814,1.73076923076923
"Pennsylvania",7.36823311606198,2.22650674342555,1.71639004149378,1.20527836780971,2.64285714285714
"Rhode Island",7.94620470553026,2.09319210889816,1.61068952697531,1.26431245086335,2.20454545454545
"South Carolina",3.7931468736907,2.05590655412109,1.77784110338539,1.25922357877445,2.02222222222222
"South Dakota",NA,2.89282583045468,1.59525654937219,1.20565664114103,1.72727272727273
"Tennessee",3.01577865932539,2.09463051135435,1.4749813100977,1.11562794649398,1.97777777777778
"Texas",3.33947876897307,2.00999741754527,1.62928368977068,1.23013898090463,1.90243902439024
"Utah",6.2538351371359,2.72735101266379,1.80175799961678,1.19678305401051,1.93939393939394
"Vermont",7.45150369792492,2.7035577097555,1.59314720812183,1.03396425486006,1.25714285714286
"Virginia",4.29239373135589,1.95201703397615,1.54946373949743,1.3083891879895,1.92105263157895
"Washington",4.89645707799041,2.11521701235956,1.44958477115013,1.19595569809333,1.73333333333333
"West Virginia",3.44507011147213,2.29014297304869,1.42238855521685,1.0652032553877,1.640625
"Wisconsin",11.2376039964677,2.65992955984064,2.07097062294664,1.24802990881901,3.33333333333333
"Wyoming",4.70142878293347,2.55667911024695,1.3870552483856,0.993110663090839,2.17073170731707
