"state_vector","variable_name","total_all_categories","white","black","american_indian","asian","native_hawaiian","other_race","two_races","hispanic","white_non_hispanic","income_ratio"
"Alabama","median_income",50536,57551,33928,50114,63149,28377,36195,44274,41584,57935,1.70758665409102
"Alaska","median_income",77640,85298,62191,49959,73014,66994,66880,69752,69463,85841,1.38028010483832
"Arizona","median_income",58945,61172,47386,37974,78785,60905,46325,55685,48649,64657,1.3644747393745
"Arkansas","median_income",47597,51340,32070,40625,71716,46569,40276,38755,42532,51681,1.61150608044902
"California","median_income",75235,78308,51837,55362,96962,77788,55823,76116,58703,87089,1.68005478712117
"Colorado","median_income",72331,74730,51677,47097,80261,71173,51370,66582,53929,78571,1.52042494726861
"Connecticut","median_income",78444,85502,49000,43350,96689,37000,41569,58464,47753,89527,1.82708163265306
"Delaware","median_income",68287,72508,50361,51891,96966,55990,57363,59340,55321,74014,1.46966898989297
"District of Columbia","median_income",86420,138231,45072,NA,106480,127917,60149,93455,81227,141650,3.14274937877174
"Florida","median_income",55660,58809,41702,48608,72205,52632,46319,54597,49266,61682,1.47911371157259
"Georgia","median_income",58700,66473,44670,38720,80977,42715,45258,57072,49897,67955,1.52126706962167
"Hawaii","median_income",81275,81319,69678,49208,86443,64142,70554,81850,70468,82185,1.17949711530182
"Idaho","median_income",55785,56683,43034,39697,53243,39828,46734,49523,47526,57543,1.33715201933355
"Illinois","median_income",65886,71922,38573,49634,90278,46023,52832,59451,55836,73686,1.91029995074275
"Indiana","median_income",56303,59415,34895,48360,63722,58106,44866,44222,47149,59861,1.71546066771744
"Iowa","median_income",60523,62097,32139,36794,59890,48173,47938,44727,47502,62628,1.94866050592738
"Kansas","median_income",59597,61812,38079,41691,70987,60323,46581,48392,47203,63078,1.65650358465296
"Kentucky","median_income",50589,52278,36424,34250,64044,50881,39078,40796,43804,52387,1.43825499670547
"Louisiana","median_income",49469,60288,30540,43875,60955,46875,37159,46736,43717,60959,1.99603798297315
"Maine","median_income",57918,58459,42901,33767,63763,NA,58049,42317,52925,58522,1.36411738654111
"Maryland","median_income",84805,94278,67583,71803,105691,76106,66033,81646,72758,95238,1.40920053859698
"Massachusetts","median_income",81215,85789,51842,37587,96556,80119,45297,64361,44885,88656,1.71011920836387
"Michigan","median_income",57144,61400,35322,43453,86611,59508,44286,45242,48256,61750,1.74820225355303
"Minnesota","median_income",71306,74387,37811,37973,79482,49330,49138,57670,51426,74945,1.98209515749385
"Mississippi","median_income",45081,55957,30714,32510,59529,27391,42284,41848,43929,56214,1.83024028130494
"Missouri","median_income",55461,58921,37179,38999,68497,48410,40767,45758,47978,59138,1.59062911858845
"Montana","median_income",54970,56282,44614,33535,61022,36210,58798,41806,46342,56501,1.26644102748016
"Nebraska","median_income",61439,63641,35976,40910,58586,35625,50275,45606,49436,64768,1.80031131865688
"Nevada","median_income",60365,64008,41034,44324,68965,61578,48334,58436,51995,66440,1.61914509918604
"New Hampshire","median_income",76768,77015,57925,57250,87364,NA,77734,62646,60389,77493,1.33781614156237
"New Jersey","median_income",82545,88810,53247,61204,121111,47188,49881,73147,57068,94462,1.77403421789021
"New Mexico","median_income",49754,52444,40528,35349,65144,49767,37490,50133,42421,59815,1.47589320963285
"New York","median_income",68486,76737,48557,41509,76341,54593,42907,60767,49159,78782,1.62246432028338
"North Carolina","median_income",54602,60845,39108,40272,84513,44740,40405,49025,42397,62036,1.58627390815178
"North Dakota","median_income",64894,68066,37872,37746,64953,NA,50915,60137,50466,68524,1.80935783692438
"Ohio","median_income",56602,61108,33158,34943,76054,46985,41634,41007,44500,61427,1.85255443633512
"Oklahoma","median_income",52919,56266,35296,44745,60082,45417,41834,47034,44709,57071,1.6169254306437
"Oregon","median_income",62818,63499,41773,44324,78790,62755,54401,55555,52537,64384,1.54128264668566
"Pennsylvania","median_income",61744,65306,38560,40622,76682,47237,36566,48713,41725,66184,1.71639004149378
"Rhode Island","median_income",67167,71096,45727,37621,77420,40507,37910,48717,41293,73652,1.61068952697531
"South Carolina","median_income",53199,61722,35092,43861,66846,47449,41934,49471,44166,62388,1.77784110338539
"South Dakota","median_income",58275,61351,38706,27902,52786,37546,47091,42601,44967,61746,1.59525654937219
"Tennessee","median_income",53320,56725,38791,44764,76677,38526,40634,45841,43885,57216,1.4749813100977
"Texas","median_income",61874,64810,46572,56394,88486,55136,45681,60327,49260,75879,1.62928368977068
"Utah","median_income",71621,73580,41752,45957,73139,66391,51365,61957,53547,75227,1.80175799961678
"Vermont","median_income",61973,62539,39400,41959,59241,43125,67551,45288,47701,62770,1.59314720812183
"Virginia","median_income",74222,79578,51654,62186,105931,78021,59123,73026,68772,80036,1.54946373949743
"Washington","median_income",73775,75135,52742,48699,96975,69195,51228,67541,54962,76454,1.44958477115013
"West Virginia","median_income",46711,47143,33133,30406,64567,NA,43554,43148,48729,47128,1.42238855521685
"Wisconsin","median_income",61747,64377,31351,42439,71786,58049,44466,49958,46266,64927,2.07097062294664
"Wyoming","median_income",64049,64820,47386,51277,54516,NA,48640,54405,52717,65727,1.3870552483856
"Puerto Rico","median_income",20539,21721,19525,25330,22390,NA,16890,21543,20454,30911,1.58314980793854
