"state_vector","total_white","male_college_or_higher_white","female_college_or_higher_white","percent_no_college_white","total_black","male_college_or_higher_black","female_college_or_higher_black","percent_no_college_black","edu_RR"
"Alabama",2288814,311142,332274,0.718886724740411,831045,52260,96936,0.820471815605653,1.14130889800744
"Alaska",319243,55597,59695,0.638858173867555,15401,1293,1906,0.792286215180832,1.24015978442358
"Arizona",2930339,523135,524317,0.642549206764132,196606,24228,25664,0.746233583919107,1.16136410420165
"Arkansas",1542183,177826,205139,0.751673439533441,281226,15943,28432,0.842208757369518,1.12044501385106
"California",11199800,2491626,2434294,0.560177860318934,1544982,181477,215670,0.742943930738352,1.32626435881518
"Colorado",2795761,649624,671039,0.527619492510268,149058,20729,18462,0.737075500811765,1.39698307449742
"Connecticut",1771370,371125,409667,0.559215748262644,246556,21698,30940,0.78650691932056,1.40644629870324
"Delaware",451436,73854,82195,0.654327523724293,136568,12850,19011,0.766702302149845,1.17174087036098
"District of Columbia",198177,91528,90547,0.0812505992118157,218421,25715,34003,0.726592223275235,8.94260756626607
"Florida",8744092,1469941,1457051,0.665260612537014,2128338,162096,248113,0.807263226047742,1.21345411232027
"Georgia",3916069,667156,707198,0.64904755253291,2079101,185920,312282,0.760376239538147,1.17152624113715
"Hawaii",242659,58302,53683,0.538508771568333,17429,2824,2371,0.701933559010844,1.30347655613215
"Idaho",956115,140895,140420,0.705772841133127,5476,1081,364,0.736121256391527,1.04300025941729
"Illinois",5706930,1069888,1144287,0.612019947677648,1165513,97814,154584,0.783444714902365,1.28009669925825
"Indiana",3666437,473908,526808,0.727060358598825,380821,28735,40333,0.818633951383984,1.1259504684888
"Iowa",1868280,253841,293246,0.7071707666945,62522,6153,4489,0.829787914654042,1.17339114360268
"Kansas",1530206,261929,289559,0.639598851396479,103225,10113,10746,0.797926858803584,1.24754267000545
"Kentucky",2635316,296814,349744,0.754656367585519,223886,16088,22149,0.829212188345855,1.09879439697683
"Louisiana",1948934,255198,294195,0.718105897890847,932703,49620,96428,0.843414248694386,1.17449842867408
"Maine",924484,131196,163267,0.681483941312127,9276,1335,1067,0.741052177662786,1.08740959652837
"Maryland",2248349,492667,527175,0.54640405026088,1206302,147062,215495,0.699447567856142,1.28009220927662
"Massachusetts",3612618,795858,897881,0.531160227845845,329719,38964,47725,0.737082182100516,1.3876833080854
"Michigan",5346396,786701,833790,0.696900304429376,873014,57014,95400,0.825416316347733,1.18441089938049
"Minnesota",3178001,566384,631111,0.623192377850101,193678,22729,18344,0.787931515195324,1.26434716341291
"Mississippi",1191300,141662,166097,0.741661210442374,695072,34102,72950,0.845984300906956,1.14066138149838
"Missouri",3424173,485302,549184,0.697887343892963,438904,31940,49498,0.814451451798115,1.16702424671428
"Montana",646116,103951,110431,0.668198899268862,3051,591,422,0.6679777122255,0.999668980233873
"Nebraska",1046093,167189,189821,0.65872059176383,53373,5567,5797,0.787083356753415,1.19486678660807
"Nevada",1132972,172371,163361,0.703671405824681,174806,13635,17530,0.82171664588172,1.16775619853232
"New Hampshire",884111,154937,171417,0.630867617301447,12526,2098,1253,0.732476448986109,1.1610620499421
"New Jersey",3619142,775374,820133,0.559147720647601,793348,77935,114941,0.75688348618765,1.35363779237271
"New Mexico",610960,118826,129663,0.593281065863559,27008,3947,3606,0.720342120853081,1.21416671169941
"New York",7977098,1627419,1800099,0.570330212816741,2054954,189934,304176,0.759551795319993,1.33177548418613
"North Carolina",4718733,778241,872173,0.650242130673636,1435294,111070,194392,0.78717809730968,1.21059227044268
"North Dakota",434504,61906,73510,0.688343490508718,11984,1674,1047,0.772947263017357,1.12290923597768
"Ohio",6541263,914775,1003326,0.706769013873926,911714,65866,90753,0.828214769105224,1.17183231416107
"Oklahoma",1853430,247485,271496,0.719988885471801,177080,15341,19160,0.805167156087644,1.11830497988872
"Oregon",2333424,396683,426740,0.647118140552253,50259,7828,5795,0.728944069718856,1.12644666257814
"Pennsylvania",7176924,1134487,1228622,0.670735122735032,902460,70533,102358,0.808422533962724,1.20527836780971
"Puerto Rico",23045,4264,4505,0.619483619006292,281690,20912,36196,0.797266498633249,1.28698560247991
"Rhode Island",569265,100113,114229,0.623475885571746,43097,4564,4561,0.788268324941411,1.26431245086335
"South Carolina",2324975,370857,398618,0.669039452037119,870680,47327,89831,0.84247025313548,1.25922357877445
"South Dakota",495899,71674,80552,0.693030233979097,9371,1054,487,0.83555650410842,1.20565664114103
"Tennessee",3553558,485334,532785,0.713493068074307,710073,53933,90927,0.795992806373429,1.11562794649398
"Texas",8572364,1646247,1669445,0.613211478187347,2165688,224496,307537,0.754335342856404,1.23013898090463
"Utah",1483251,292148,254306,0.63158359576363,18531,2854,1670,0.755868544600939,1.19678305401051
"Vermont",416037,70274,87727,0.620223682028281,4282,897,639,0.641289117234937,1.03396425486006
"Virginia",3767293,776553,812174,0.578284195044028,1072984,108415,152727,0.756620788380815,1.3083891879895
"Washington",3750649,697215,706681,0.625692513482333,180350,24991,20403,0.748300526753535,1.19595569809333
"West Virginia",1203437,114254,131011,0.796196227970388,43749,3278,3367,0.848110813961462,1.0652032553877
"Wisconsin",3381290,499962,567812,0.68421105554389,212316,11473,19543,0.8539158612634,1.24802990881901
"Wyoming",340666,48130,50511,0.710446595785902,3206,615,329,0.705552089831566,0.993110663090839
