"state_vector","total_num_occupied_homes_total","num_renter_occupied_homes_total","total_num_occupied_homes_white","num_renter_occupied_homes_white","total_num_occupied_homes_black","num_renter_occupied_homes_black","total_num_occupied_homes_AIAN","num_renter_occupied_homes_AIAN","total_num_occupied_homes_asian","num_renter_occupied_homes_asian","total_num_occupied_homes_NHPI","num_renter_occupied_homes_NHPI","total_num_occupied_homes_other_race","num_renter_occupied_homes_other_race","total_num_occupied_homes_two_races","num_renter_occupied_homes_two_races","total_num_occupied_homes_hispanic","num_renter_occupied_homes_hispanic","total_num_occupied_homes_white_non_hispanic","num_renter_occupied_homes_white_non_hispanic"
"Alabama",1867893,583145,1304833,311480,489933,241072,9848,2733,21325,8962,568,305,17117,9522,24269,9071,53081,26691,1271914,296278
"Alaska",253346,90350,184437,58319,8218,5126,29726,12096,11608,5044,2029,1484,3487,1915,13841,6366,14574,7486,175492,53869
"Arizona",2571268,914512,2109650,681318,108736,71115,86934,39256,77081,30327,3705,2268,124247,59211,60915,31017,596116,274884,1672581,483740
"Arkansas",1158071,398616,916720,268235,174264,98440,7270,2951,14065,6401,1856,1733,22072,10676,21824,10180,58587,27986,881899,251992
"California",13044266,5889686,8491976,3496293,818832,534266,96536,49488,1811767,737276,40613,22531,1347444,814563,437098,235269,3811789,2141340,6231619,2281923
"Colorado",2148994,747259,1871862,604752,80945,48842,20395,10294,57754,22356,2663,1438,63701,34603,51674,24974,344882,171040,1614843,481085
"Connecticut",1370746,465065,1094472,301116,135220,81914,3668,2182,52729,22343,274,198,57548,41671,26835,15641,174546,114731,992605,239065
"Delaware",363322,104542,263911,57448,74927,36706,1615,518,12482,4924,177,120,4550,2354,5660,2472,23705,12126,246718,48681
"District of Columbia",284386,166019,131369,66357,123184,79850,881,587,11628,6967,71,38,9551,7697,7702,4523,24718,16620,119278,59271
"Florida",7736311,2677470,6161542,1871932,1064084,582105,20884,8640,176202,54654,3414,1910,176309,99328,133876,58901,1610100,782898,4800896,1229429
"Georgia",3758798,1381025,2320665,638045,1160923,618451,13120,7220,128000,44470,1923,1107,73577,42785,60590,28947,252299,131000,2161570,561894
"Hawaii",459424,189047,149682,67790,9977,7657,1427,891,179474,53442,37728,21048,4619,3406,76517,34813,35858,22501,136104,58604
"Idaho",630008,189292,582678,167376,3057,1907,7814,3422,7468,2797,859,474,16043,7173,12089,6143,55211,25703,547253,151140
"Illinois",4846134,1643419,3654197,995420,674203,412588,11527,5443,231623,91233,1352,635,199860,101382,73372,36718,576009,269481,3303726,840171
"Indiana",2570419,794237,2204679,583059,235992,148269,6320,2537,46681,22214,516,296,40750,20644,35481,17218,122060,56591,2129510,550193
"Iowa",1265473,366250,1173100,309442,38844,29374,3935,2152,24211,11630,950,663,10926,5847,13507,7142,50400,24281,1135997,292338
"Kansas",1129227,381104,986043,301839,64559,42070,8625,4717,26705,11953,542,328,19859,8710,22894,11487,93730,44661,917299,268865
"Kentucky",1734618,568587,1537487,448276,140519,89152,3676,1872,20327,10150,816,536,10588,7652,21205,10949,43049,26837,1507458,430846
"Louisiana",1739497,598292,1137121,287507,527045,278438,9739,3022,24448,8362,376,231,19249,12141,21519,8591,71503,39195,1088755,262692
"Maine",559921,155162,537877,143413,4978,3879,3568,1738,4284,1910,148,64,882,338,8184,3820,6504,3027,533085,141313
"Maryland",2205204,730055,1318538,319477,648484,314579,6711,2959,121789,36546,961,400,61746,35674,46975,20420,146907,73456,1245794,287886
"Massachusetts",2617497,984732,2149509,701007,173234,114115,5193,3358,145828,66436,922,427,90075,67044,52736,32345,244310,178119,2013404,606412
"Michigan",3935041,1132342,3183051,727372,527956,307342,19528,7562,101311,42729,937,536,34198,15788,68060,31013,140493,61161,3087557,688498
"Minnesota",2185603,620733,1917317,459739,113728,86148,18773,10033,73848,31159,717,332,26775,15658,34445,17664,75706,41032,1873239,437364
"Mississippi",1104394,351553,673396,152188,400619,186206,4706,1577,8945,3717,268,29,7420,4072,9040,3764,22979,11811,659530,145382
"Missouri",2414521,802535,2029881,576996,272262,169786,10659,4871,41281,19264,2049,1424,19019,10909,39370,19285,70263,34868,1982937,555289
"Montana",427871,136400,394126,119117,1444,1043,18241,9632,2922,1269,256,188,1907,828,8975,4323,11281,5700,386549,115356
"Nebraska",759176,257497,683391,211352,34227,23937,5197,2955,13934,7515,303,126,11285,5732,10839,5880,55799,28313,641373,190027
"Nevada",1098602,479997,781185,299967,100269,70939,13422,6662,79792,29228,6034,4302,83425,50118,34475,18781,232855,125916,645317,232459
"New Hampshire",532037,153859,504467,139564,6381,4316,887,440,11344,4959,107,22,2046,1248,6805,3310,13145,7898,494425,133742
"New Jersey",3231874,1167634,2308716,660900,428807,262086,6524,3253,268946,100183,860,452,162723,113522,55298,27238,529248,336275,1977442,460015
"New Mexico",780249,252353,618068,187158,15916,9518,56422,21715,10292,4659,448,232,61562,21660,17541,7411,330703,113985,362325,100619
"New York",7343234,3385432,5025821,1827209,1091282,749802,28195,17223,526705,271213,2750,1928,510187,414299,158294,103758,1134496,843246,4534313,1506368
"North Carolina",3965482,1379548,2854309,797520,836021,455396,42343,15056,90650,34186,2321,1128,81114,46705,58724,29557,248304,134187,2702764,718921
"North Dakota",318322,119840,285668,97332,8557,7890,11832,6458,4008,2727,218,200,2588,1985,5451,3248,8712,6007,280554,94005
"Ohio",4676358,1587312,3885062,1098524,584521,376477,9651,5415,85813,41162,1147,792,34216,21155,75948,43787,131083,72662,3799219,1054839
"Oklahoma",1480061,508939,1133779,343901,108079,66390,98151,36751,25839,10974,1564,1038,29429,14029,83220,35856,105166,50954,1065656,310611
"Oregon",1611982,606086,1419568,507333,27230,18069,16365,8898,60011,23602,4443,2907,32224,18214,52141,27063,138221,78992,1325531,454228
"Pennsylvania",5053106,1572128,4240490,1130404,513862,292046,8718,4160,138698,57688,1248,726,80776,48972,69314,38132,265875,156313,4086664,1043157
"Rhode Island",410489,160997,347699,119837,24315,16129,1944,1553,10940,5656,282,222,17325,12405,7984,5195,48034,33740,320939,101706
"South Carolina",1921862,588023,1347413,319826,496273,232707,6857,2725,24443,8558,913,680,23011,13195,22952,10332,74587,38720,1300207,296550
"South Dakota",344397,110790,309436,88251,5481,4431,18190,11213,3834,2510,141,119,2299,1528,5016,2738,9219,5655,303632,84853
"Tennessee",2597292,875045,2071698,583983,422149,240507,7813,3711,35975,14717,1132,832,22936,14383,35589,16912,93264,54846,2004934,545324
"Texas",9691647,3686845,7319922,2462206,1240150,735800,48391,19662,428601,159112,7055,3989,464445,220074,183083,86002,3054709,1304833,4823649,1423855
"Utah",977313,291614,874547,240251,9616,6834,9116,4344,22262,8931,6412,3679,37703,19524,17657,8051,106021,50553,811581,211481
"Vermont",260029,76030,249247,70441,2450,1853,954,373,3010,1407,155,65,547,277,3666,1614,3598,1990,246443,68943
"Virginia",3151045,1063334,2255668,630716,590176,307925,8621,3464,168700,55333,1841,852,55426,31187,70613,33857,204880,104001,2124497,567853
"Washington",2848396,1055157,2289370,768594,101897,69783,32351,15412,218988,83302,13655,9199,87171,51881,104964,56986,242557,135082,2153054,697089
"West Virginia",732585,196432,691848,174973,25114,14477,1502,613,4944,2183,127,77,2133,1180,6917,2929,7631,3238,686346,172760
"Wisconsin",2358156,777217,2096618,606080,132136,98476,19139,10259,47532,25307,611,372,34076,21329,28044,15394,106297,62799,2030721,568970
"Wyoming",230101,68129,215848,61351,2121,1511,3624,1508,1456,551,113,31,2467,1206,4472,1971,17049,6843,202923,56543
"Puerto Rico",1192654,380029,783698,228456,144087,46646,2664,1054,2261,837,22,16,198015,78987,61907,24033,1178577,374795,10661,3884
