"state_vector","total_num_occupied_homes_total","num_renter_occupied_homes_total","total_num_occupied_homes_white_non_hispanic","num_renter_occupied_homes_white_non_hispanic","total_num_occupied_homes_black","num_renter_occupied_homes_black","white_renter_occupied_homes_percent","black_renter_occupied_homes_percent","renters_RR"
"Alabama",1867893,583145,1271914,296278,489933,241072,0.232938704975336,0.492050953905942,2.11236236570492
"Alaska",253346,90350,175492,53869,8218,5126,0.306959861418184,0.623752737892431,2.03203355321648
"Arizona",2571268,914512,1672581,483740,108736,71115,0.289217682133182,0.654015229546792,2.26132518842892
"Arkansas",1158071,398616,881899,251992,174264,98440,0.285737935976796,0.564890051875316,1.97695153758369
"California",13044266,5889686,6231619,2281923,818832,534266,0.366184614303281,0.652473279012056,1.78181511053784
"Colorado",2148994,747259,1614843,481085,80945,48842,0.297914410255362,0.603397368583606,2.02540510902576
"Connecticut",1370746,465065,992605,239065,135220,81914,0.240846056588472,0.605783168170389,2.51522975609884
"Delaware",363322,104542,246718,48681,74927,36706,0.197314342690845,0.489890159755495,2.48279041996993
"District of Columbia",284386,166019,119278,59271,123184,79850,0.496914770536059,0.648217300948175,1.30448386601367
"Florida",7736311,2677470,4800896,1229429,1064084,582105,0.256083239461967,0.547047977415317,2.13621156372697
"Georgia",3758798,1381025,2161570,561894,1160923,618451,0.259947168030644,0.532723531190268,2.04935308672979
"Hawaii",459424,189047,136104,58604,9977,7657,0.430582495738553,0.767465169890749,1.78238822405997
"Idaho",630008,189292,547253,151140,3057,1907,0.276179390519559,0.62381419692509,2.25872826988121
"Illinois",4846134,1643419,3303726,840171,674203,412588,0.254310133467485,0.611964052369984,2.40636912114329
"Indiana",2570419,794237,2129510,550193,235992,148269,0.258366009081901,0.628279772195668,2.43174314774706
"Iowa",1265473,366250,1135997,292338,38844,29374,0.257340468328702,0.756204304397076,2.93853628738708
"Kansas",1129227,381104,917299,268865,64559,42070,0.293105083511483,0.65165197726111,2.22327081282294
"Kentucky",1734618,568587,1507458,430846,140519,89152,0.285809621229912,0.634448010589315,2.21982733771916
"Louisiana",1739497,598292,1088755,262692,527045,278438,0.241277422376935,0.528300240017456,2.1895966676572
"Maine",559921,155162,533085,141313,4978,3879,0.265085305345301,0.77922860586581,2.93953904706556
"Maryland",2205204,730055,1245794,287886,648484,314579,0.231086359382049,0.485099092653018,2.0992112816621
"Massachusetts",2617497,984732,2013404,606412,173234,114115,0.301187441765289,0.658733274068601,2.1871206522015
"Michigan",3935041,1132342,3087557,688498,527956,307342,0.222991186883351,0.582135632514831,2.61057686023865
"Minnesota",2185603,620733,1873239,437364,113728,86148,0.233480084495358,0.757491558806978,3.2443519131159
"Mississippi",1104394,351553,659530,145382,400619,186206,0.220432732400346,0.464795728609976,2.10856039186514
"Missouri",2414521,802535,1982937,555289,272262,169786,0.280033606715695,0.623612549676415,2.22692039355669
"Montana",427871,136400,386549,115356,1444,1043,0.298425296663554,0.722299168975069,2.42036843742973
"Nebraska",759176,257497,641373,190027,34227,23937,0.296281570942338,0.699360154264177,2.36045783083919
"Nevada",1098602,479997,645317,232459,100269,70939,0.360224509814556,0.70748686034567,1.96401644271758
"New Hampshire",532037,153859,494425,133742,6381,4316,0.270500075845679,0.676383012067074,2.50049102556611
"New Jersey",3231874,1167634,1977442,460015,428807,262086,0.232631348985204,0.611198044808037,2.62732450924708
"New Mexico",780249,252353,362325,100619,15916,9518,0.277703719036776,0.598014576526765,2.15342660372355
"New York",7343234,3385432,4534313,1506368,1091282,749802,0.332215266127416,0.687083631911825,2.06818801532229
"North Carolina",3965482,1379548,2702764,718921,836021,455396,0.265994737239359,0.54471837429921,2.04785395362555
"North Dakota",318322,119840,280554,94005,8557,7890,0.335069184542013,0.922052121070469,2.75182608132338
"Ohio",4676358,1587312,3799219,1054839,584521,376477,0.277646274142133,0.644077800455416,2.31977829504638
"Oklahoma",1480061,508939,1065656,310611,108079,66390,0.291473984099935,0.614272892976434,2.10747074005008
"Oregon",1611982,606086,1325531,454228,27230,18069,0.342676255779759,0.663569592361366,1.93643294850241
"Pennsylvania",5053106,1572128,4086664,1043157,513862,292046,0.255258812566925,0.568335467499056,2.22650674342555
"Rhode Island",410489,160997,320939,101706,24315,16129,0.316901342622741,0.663335389677154,2.09319210889816
"South Carolina",1921862,588023,1300207,296550,496273,232707,0.228079067410035,0.468909249546117,2.05590655412109
"South Dakota",344397,110790,303632,84853,5481,4431,0.279460004215629,0.808429118773946,2.89282583045468
"Tennessee",2597292,875045,2004934,545324,422149,240507,0.271990998207422,0.569720643658992,2.09463051135435
"Texas",9691647,3686845,4823649,1423855,1240150,735800,0.295182132862486,0.593315324759102,2.00999741754527
"Utah",977313,291614,811581,211481,9616,6834,0.260579042634069,0.710690515806988,2.72735101266379
"Vermont",260029,76030,246443,68943,2450,1853,0.279752315951356,0.756326530612245,2.7035577097555
"Virginia",3151045,1063334,2124497,567853,590176,307925,0.26728820986803,0.521751138643388,1.95201703397615
"Washington",2848396,1055157,2153054,697089,101897,69783,0.323767541362177,0.684838611539103,2.11521701235956
"West Virginia",732585,196432,686346,172760,25114,14477,0.251709779032733,0.57645138169945,2.29014297304869
"Wisconsin",2358156,777217,2030721,568970,132136,98476,0.280181275517415,0.745262456862626,2.65992955984064
"Wyoming",230101,68129,202923,56543,2121,1511,0.278642637847854,0.712399811409712,2.55667911024695
"Puerto Rico",1192654,380029,10661,3884,144087,46646,0.36431854422662,0.323734965680457,0.888604137260389
